timestamp,C,kernel,fold,acc,f1,time
2025-10-31 21:09:48,10,linear,5,0.7829,0.7723,0.12
2025-10-31 21:09:48,10,rbf,1,0.884,0.8835,0.03
2025-10-31 21:09:48,10,rbf,2,0.8527,0.8479,0.03
2025-10-31 21:09:48,10,rbf,3,0.8656,0.8583,0.03
2025-10-31 21:09:48,10,rbf,4,0.8372,0.8362,0.03
2025-10-31 21:09:48,10,rbf,5,0.8398,0.8385,0.03
2025-10-31 21:09:48,10,poly,1,0.8737,0.8719,0.04
2025-10-31 21:09:48,10,poly,2,0.8295,0.8217,0.04
2025-10-31 21:09:48,10,poly,3,0.8475,0.8388,0.04
2025-10-31 21:09:48,10,poly,4,0.8217,0.8192,0.04
2025-10-31 21:09:48,10,poly,5,0.8295,0.8279,0.03
