timestamp,n_estimators,max_depth,min_samples_split,fold,mean_acc,mean_f1,mean_time
2025-10-31 14:41:14,5,15,5,3,0.8505,0.8447,9.88
2025-10-31 14:41:23,5,15,5,4,0.7732,0.7733,9.43
2025-10-31 14:41:34,5,15,5,5,0.8041,0.795,10.64
2025-10-31 14:41:45,5,15,5,6,0.8144,0.8125,10.61
2025-10-31 14:41:55,5,15,5,7,0.7306,0.7283,10.04
2025-10-31 14:42:04,5,15,5,8,0.8031,0.788,9.28
2025-10-31 14:42:13,5,15,5,9,0.7617,0.7827,9.36
2025-10-31 14:42:22,5,15,5,10,0.7409,0.7329,8.87
2025-10-31 14:42:32,5,15,10,1,0.7938,0.8047,10.04
2025-10-31 14:42:43,5,15,10,2,0.8196,0.8109,10.63
2025-10-31 14:42:53,5,15,10,3,0.8299,0.8224,10.53
2025-10-31 14:43:03,5,15,10,4,0.8041,0.8048,9.42
2025-10-31 14:43:12,5,15,10,5,0.8814,0.8745,9.54
2025-10-31 14:43:21,5,15,10,6,0.8247,0.8244,8.77
2025-10-31 14:43:30,5,15,10,7,0.7668,0.775,8.4
2025-10-31 14:43:39,5,15,10,8,0.8187,0.8081,8.98
2025-10-31 14:43:48,5,15,10,9,0.7668,0.7813,9.77
2025-10-31 14:43:57,5,15,10,10,0.7979,0.7842,8.76
2025-10-31 14:44:06,5,20,2,1,0.8505,0.857,8.87
2025-10-31 14:44:16,5,20,2,2,0.768,0.7577,9.78
2025-10-31 14:44:26,5,20,2,3,0.7732,0.7619,10.13
2025-10-31 14:44:35,5,20,2,4,0.7577,0.7564,8.9
2025-10-31 14:44:45,5,20,2,5,0.8557,0.8423,10.13
2025-10-31 14:44:56,5,20,2,6,0.799,0.7967,10.7
2025-10-31 14:45:07,5,20,2,7,0.8187,0.826,11.41
2025-10-31 14:45:18,5,20,2,8,0.7461,0.7237,11.02
2025-10-31 14:45:27,5,20,2,9,0.8238,0.8366,9.13
2025-10-31 14:45:37,5,20,2,10,0.7876,0.7802,9.14
2025-10-31 14:45:47,5,20,5,1,0.7629,0.7723,10.7
2025-10-31 14:45:57,5,20,5,2,0.8093,0.7997,9.47
2025-10-31 14:46:06,5,20,5,3,0.8299,0.8197,9.16
2025-10-31 14:46:15,5,20,5,4,0.7938,0.7927,9.03
2025-10-31 14:46:24,5,20,5,5,0.8454,0.8391,9.34
2025-10-31 14:46:34,5,20,5,6,0.8247,0.8261,9.24
2025-10-31 14:46:43,5,20,5,7,0.7824,0.7905,9.4
2025-10-31 14:46:52,5,20,5,8,0.7668,0.7529,9.08
2025-10-31 14:47:02,5,20,5,9,0.7876,0.7919,9.5
2025-10-31 14:47:12,5,20,5,10,0.7979,0.7885,10.27
2025-10-31 14:47:21,5,20,10,1,0.7371,0.7495,9.18
2025-10-31 14:47:30,5,20,10,2,0.799,0.7887,9.22
