timestamp,n_neighbors,mean_acc,mean_f1,mean_time
2025-10-31 12:52:28,1,0.8482,0.8438,0.0
2025-10-31 12:52:28,3,0.8208,0.8136,0.0
2025-10-31 12:52:29,5,0.8151,0.8065,0.0
2025-10-31 12:52:29,7,0.8001,0.789,0.0
2025-10-31 12:52:29,9,0.7898,0.7768,0.0
2025-10-31 12:52:30,11,0.7753,0.7599,0.0
2025-10-31 12:52:30,13,0.7712,0.7547,0.0
2025-10-31 12:52:31,15,0.7666,0.7484,0.0
