timestamp,max_depth,min_samples_split,fold,mean_acc,mean_f1,mean_time
2025-10-31 11:07:16,10,2,4,0.8093,0.8078,13.99
2025-10-31 11:07:30,10,2,5,0.8299,0.813,13.48
2025-10-31 11:07:44,10,2,6,0.8402,0.8408,13.74
2025-10-31 11:07:57,10,2,7,0.7927,0.801,13.6
2025-10-31 11:08:11,10,2,8,0.7565,0.7424,13.27
2025-10-31 11:08:24,10,2,9,0.8238,0.8335,12.95
2025-10-31 11:08:38,10,2,10,0.8705,0.8592,14.0
2025-10-31 11:08:52,10,5,1,0.866,0.8722,14.66
2025-10-31 11:09:06,10,5,2,0.8557,0.8477,13.68
2025-10-31 11:09:20,10,5,3,0.866,0.8578,13.56
2025-10-31 11:09:33,10,5,4,0.8093,0.8078,13.81
2025-10-31 11:09:47,10,5,5,0.8351,0.819,14.0
2025-10-31 11:10:02,10,5,6,0.8402,0.8408,14.97
2025-10-31 11:10:16,10,5,7,0.7927,0.801,14.02
2025-10-31 11:10:30,10,5,8,0.7565,0.7424,13.62
2025-10-31 11:10:42,10,5,9,0.829,0.8372,12.32
2025-10-31 11:10:56,10,5,10,0.8705,0.8592,13.44
2025-10-31 11:11:09,10,7,1,0.8608,0.8673,13.55
2025-10-31 11:11:23,10,7,2,0.8557,0.8477,13.08
2025-10-31 11:11:36,10,7,3,0.8608,0.852,13.65
2025-10-31 11:11:49,10,7,4,0.8041,0.8026,12.9
2025-10-31 11:12:02,10,7,5,0.8402,0.8251,12.87
2025-10-31 11:12:15,10,7,6,0.8557,0.8565,12.8
2025-10-31 11:12:28,10,7,7,0.7824,0.793,13.34
2025-10-31 11:12:42,10,7,8,0.7513,0.7385,13.58
2025-10-31 11:12:54,10,7,9,0.8187,0.8277,12.2
2025-10-31 11:13:07,10,7,10,0.8705,0.8592,12.99
2025-10-31 11:13:21,10,10,1,0.8608,0.8673,13.59
2025-10-31 11:13:34,10,10,2,0.8608,0.853,13.17
2025-10-31 11:13:47,10,10,3,0.8608,0.8513,13.52
2025-10-31 11:14:00,10,10,4,0.8041,0.8024,12.81
2025-10-31 11:14:13,10,10,5,0.8247,0.807,13.31
2025-10-31 11:14:28,10,10,6,0.8402,0.8411,14.5
2025-10-31 11:14:41,10,10,7,0.7824,0.793,13.28
2025-10-31 11:14:55,10,10,8,0.7513,0.7363,13.9
2025-10-31 11:15:08,10,10,9,0.7927,0.8034,12.97
2025-10-31 11:15:22,10,10,10,0.8756,0.8653,13.29
2025-10-31 11:15:36,13,2,1,0.8763,0.8811,14.8
2025-10-31 11:15:50,13,2,2,0.8557,0.8476,13.99
2025-10-31 11:16:05,13,2,3,0.866,0.8588,14.48
2025-10-31 11:16:18,13,2,4,0.8093,0.8092,13.38
