timestamp,C,kernel,mean_acc,mean_f1,mean_time
2025-10-31 20:14:01,0.1,linear,0.782,0.7652,31.3
2025-10-31 20:16:25,0.1,rbf,0.7779,0.7617,28.69
2025-10-31 20:40:08,0.1,poly,0.8507,0.8481,284.52
2025-10-31 20:49:00,1,linear,0.8016,0.789,106.4
2025-10-31 20:55:36,1,rbf,0.8352,0.8288,79.19
